Position,First_Name,Last_Name,Points,Stage_1,Stage_2,Stage_3,Fastest_Lap
1,Kyle,Larson,73,8,10,0,0
2,Alex,Bowman,38,3,0,0,0
3,Joey,Logano,54,10,9,0,1
4,William,Byron,33,0,0,0,0
5,Ross,Chastain,32,0,0,0,0
6,Austin,Dillon,31,0,0,0,0
7,Connor,Zilisch,30,0,0,0,0
8,Carson,Hocevar,34,5,0,0,0
9,Denny,Hamlin,33,0,5,0,0
10,Austin,Cindric,27,0,0,0,0
11,Cole,Custer,26,0,0,0,0
12,Brad,Keselowski,34,1,8,0,0
13,Erik,Jones,24,0,0,0,0
14,Bubba,Wallace,24,0,1,0,0
15,John,H. Nemechek,22,0,0,0,0
16,AJ,Allmendinger,21,0,0,0,0
17,Ryan,Preece,24,0,4,0,0
18,Ty,Gibbs,21,2,0,0,0
19,Christopher,Bell,27,9,0,0,0
20,Michael,McDowell,17,0,0,0,0
21,Austin,Hill,0,0,0,0,0
22,Cody,Ware,15,0,0,0,0
23,Shane,Van Gisbergen,14,0,0,0,0
24,Todd,Gilliland,13,0,0,0,0
25,Tyler,Reddick,15,0,3,0,0
26,Ricky,Stenhouse Jr,11,0,0,0,0
27,Chris,Buescher,10,0,0,0,0
28,Josh,Berry,15,0,6,0,0
29,Daniel,Suárez,8,0,0,0,0
30,Ty,Dillon,7,0,0,0,0
31,Chase,Elliott,12,6,0,0,0
32,Chase,Briscoe,11,4,2,0,0
33,Noah,Gragson,4,0,0,0,0
34,Riley,Herbst,3,0,0,0,0
35,Ryan,Blaney,16,7,7,0,0
36,Zane,Smith,1,0,0,0,0
