Position,First_Name,Last_Name,Points,Stage_1,Stage_2,Stage_3,Fastest_Lap
1,Joey,Logano,40,4,3,1,0
2,Ryan,Blaney,35,2,2,2,1
3,William,Byron,34,1,4,3,0
4,Kyle,Larson,33,5,5,4,0
5,Christopher,Bell,32,6,1,5,0
6,Tyler,Reddick,31,3,6,6,0
7,Bubba,Wallace,30,8,8,7,0
8,Chase,Elliott,29,7,7,8,0
9,Chris,Buescher,28,0,9,9,0
10,Denny,Hamlin,27,9,10,10,0
11,Martin,Truex Jr.,26,10,0,0,0
12,Alex,Bowman,25,0,0,0,0
13,Brad,Keselowski,24,0,0,0,0
14,Harrison,Burton,23,0,0,0,0
15,Ty,Gibbs,22,0,0,0,0
16,Noah,Gragson,21,0,0,0,0
17,Ross,Chastain,20,0,0,0,0
18,Kyle,Busch,19,0,0,0,0
19,Michael,McDowell,18,0,0,0,0
20,Todd,Gilliland,17,0,0,0,0
21,Daniel,Suarez,16,0,0,0,0
22,Austin,Cindric,15,0,0,0,0
23,Ryan,Preece,14,0,0,0,0
24,Josh,Berry,13,0,0,0,0
25,Carson,Hocevar,12,0,0,0,0
26,Ricky,Stenhouse Jr.,11,0,0,0,0
27,Erik,Jones,10,0,0,0,0
28,Justin,Haley,9,0,0,0,0
29,Austin,Dillon,8,0,0,0,0
30,Corey,LaJoie,7,0,0,0,0
31,Daniel,Hemric,6,0,0,0,0
32,John Hunter,Nemechek,5,0,0,0,0
33,Zane,Smith,4,0,0,0,0
34,Kaz,Grala,3,0,0,0,0
35,J.J.,Yeley,2,0,0,0,0
36,Jeb,Burton,1,0,0,0,0
